Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context (4),Context (5),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Has anatomical identification [URI],Has anatomical identification [Label],Has anatomical identification [Source value],Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has Biological Taxonomy [Source value],Has fusion character (distal) [URI],Has fusion character (distal) [Label],Has fusion character (distal) [Source value],Has fusion character (proximal) [URI],Has fusion character (proximal) [Label],Has fusion character (proximal) [Source value],Has physiological sex determination [URI],Has physiological sex determination [Label],Has physiological sex determination [Source value],Taxon [Source],Element [Source],Side [Source],Proximal Fusion [Source],Distal Fusion [Source],Reference [Source],Year [Source],Retrieval Method [Source],Species [Source],Species Comment [Source],Part [Source],Size [Source],Age Data [Source],Retrieval % [Source],Volume [Source],Mesh Size [Source],Sex [Source],Weight [Source],Comments [Source],Fusion stages [Source],Number of Elements [Source],Sample No [Source],Age group [Source],Cutmarks [Source],Stratum [Source],Bd [Source],SD [Source],Bp [Source],Bp (unfused) [Source],GL [Source],GL (unfused) [Source],Dp (unfused) [Source],GB [Source],Bd (unfused) [Source],BFp [Source],Dl [Source],Dm [Source],Dp [Source],GB (unfused) [Source],GL1 [Source],GLm [Source]
http://opencontext.org/subjects/TESTSPA0000006194,Bone Ref# 2797,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2797,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,> 10 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006195,Bone Ref# 2798,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2798,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006196,Bone Ref# 2799,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2799,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,> 10 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006197,Bone Ref# 2800,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2800,PB 95,Floatation,Unknown,Ovis,,<2 cm,,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006198,Bone Ref# 2801,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2801,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006199,Bone Ref# 2802,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2802,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006200,Bone Ref# 2803,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2803,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006201,Bone Ref# 2804,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2804,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006202,Bone Ref# 2805,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Sesamoid Bone,NA,,,2805,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006203,Bone Ref# 2806,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0004301,middle phalanx,Middle Phalanx,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Middle Phalanx,NA,,,2806,PB 95,Floatation,Unknown,Ovis,,<2 cm,Unfused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
