Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context (4),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Has anatomical identification [URI],Has anatomical identification [Label],Has anatomical identification [Source value],Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has Biological Taxonomy [Source value],Has physiological sex determination [URI],Has physiological sex determination [Label],Has physiological sex determination [Source value],Has fusion character (distal) [URI],Has fusion character (distal) [Label],Has fusion character (distal) [Source value],Has fusion character (proximal) [URI],Has fusion character (proximal) [Label],Has fusion character (proximal) [Source value],Archaeological Horizon [Source],Osteo Id [Source],Taxonomic Id [Source],Articulation [Source],Symmetry [Source],Sex [Source],Pathology [Source],Number Of Fragments [Source],Number Of Elements [Source],Proximaldistal [Source],Fusion Proximal [Source],Fusion Distal [Source],Completeness Of Element [Source],Completeness Of Portion [Source],Fragmentation [Source],Maxilla With Teeth [Source],Mandible Fragment [Source],Mandible With Teeth [Source],Tooth Type [Source],Tooth Class [Source],Tooth Number [Source],dP4 [Source],P4 [Source],M1 [Source],M2 [Source],M3 [Source],Length of dP4 at occlusal surface [Source],Distal depth on medial side (L) Legge's TD [Source],Greatest breadth of the proximal end (trochlea) [Source],Length of M3 at occlusal surface [Source],Greatest lateral depth [Source],"Height of the collum of the trochlea, central groove (HTC) [Source]",Depth of the lateral verticillus (B) [Source],Length of the glenoid cavity-including cranial lip (LP) [Source],Breadth of acetabulum [Source],Height of M1on lingual side from apex to occlusal surface between the first two cusps [Source],Greatest breadth over the wings (GLF) [Source],Height across dorsal to ventral arch (H) [Source],Depth of the lateral trochlear condyle (B) [Source],Breadth of dP4 at occlusal surface [Source],Height of M2 on lingual side from apex to occlusal surface between the first two cusps [Source],Breadth of M3 at occlusal surface [Source],Minimum height of neck-from base of spine to articular surface [Source],Height from the base line at rest [Source],Greatest length without epiphysis [Source],Greatest breadth of facies articularis cranialis (BFcr) [Source],Maximum H of M3 on buccal side of anterior cusp from enamel-dentin junction to occlusal surface [Source],Basal breadth of M3 [Source],Greatest breadth of facies articularis caudalis (BFcd) [Source],Breadth [Source],Depth of the medial verticillus (B) [Source],Breadth of the third cusp (posterior) of M3 (for O/C) [Source],Depth of the distal end-- flat against anterior side [Source],Middle breadth of the sole (MBS) [Source],Maximum H of M1 on buccal side of anterior cusp from enamel-dentin junction to occlusal surface [Source],Height of M3 on lingual side from apex to occlusal surface between the first two cusps [Source],Basal length of M3 [Source],Width of the lateral condyle (P) [Source],Basal breadth of dP4 [Source],"Basal length of dP4: base at crown, maximum length of the enamel [Source]",Width of the medial condyle (P) [Source],Depth of the medial trochlear condyle (B) [Source],Maximum H of dP4 on buccal side of anterior cusp from enamel dentin junction to occlusal surface [Source],Greatest breadth of the trochlea (BT) [Source],Greatest breadth of the facies articularis proximalis (BFp) [Source],Greatest length of the lateral half (GLl) [Source],Greatest depth of the medial half (Dm) [Source],Depth of the proximal end (equids) (Dp) [Source],Greatest length (GL) [Source],Greatest depthof the lateral half (Dl) [Source],Greatest breadth of facies articularis didtalis (BFd) [Source],Greatest depth of the distal end (Dd) [Source],Smallest length of collum scapulae (SLC) [Source],Greatest length of the medial half (GLm) [Source],Greatest diagonal length of the sole (DLS) [Source],Greatest breadth of the proximal end (Bp) [Source],Breadth of the glenoid cavity (BG) [Source],Greatest breadth of the distal end (Bd) [Source],Length of the dorsal surface (Ld) [Source],Greatest length of the peripheral/abaxial half (GLpe) [Source],Greatest depth of the proximal end (Dp) [Source],Length of olecranon (only in ruminants) (LO) [Source],Length of acetabulum including the lip (LA) [Source],Greatest length of the processus gleonidalis (GLP) [Source],Greatest breadth across the coronoid process (BPC) [Source],Smallest depth of the olecranon (SDO) [Source],Depth across the processus anconeus (BPC) [Source]
http://opencontext.org/subjects/9BA22811-49BA-44DA-C974-6BD78F5F4A12,Bone F1419-181,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square F14,http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0001272,innominate bone,Pelvis,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0003101,male organism,Male,,,,,,,19,Pelvis,Ovis/Capra,Separate,Left,Male,No pathology,1,1,Central,Not applicable,Not applicable,Nonidentified,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/18A67B63-636C-4C5B-3AD5-04DC48AA266D,Bone F1420-181,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square F14,http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0000981,femur,Femur,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,,,,,,,20,Femur,Ovis/Capra,Separate,Not applicable,Nonidentified,No pathology,1,0,Shaft,Not applicable,Not applicable,Nonidentified,Not applicable,Shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/AF80E68A-AEDC-4107-44B6-D0AC757ED5D1,Bone G1218-181,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square G12,http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0003268,tooth of lower jaw,Loose mandibular tooth,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis,,,,,,,,,,18,Loose mandibular tooth,Ovis orientalis,Separate,Left,Nonidentified,No pathology,1,1,Not applicable,Not applicable,Not applicable,Nonidentified,Not applicable,Not applicable,,,,Lower permanent,Molar,1,,,DEF,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/607F0333-9C19-427D-8C36-08709FF27FC8,Bone G1317-182,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square G13,http://opencontext.org/subjects/8ECF8742-FA42-4AAF-AAD8-E336D618CBB7,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0004301,middle phalanx,Phalanx anterior/posterior 2,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis,,,,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0070,Proximal epiphysis unfused,Unfused,17,Phalanx anterior/posterior 2,Ovis orientalis,Separate,Not applicable,Nonidentified,No pathology,1,1,Proximal,Unfused,Not applicable,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/BB5D02D9-1C39-403C-5329-3EE318FDBFA3,Bone D1418-182,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square D14,http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0000976,humerus,Humerus,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0057,Distal epiphysis fused,Fused,,,,18,Humerus,Ovis orientalis,Separate,Left,Nonidentified,No pathology,1,1,Distal,Not applicable,Fused,< 1/4 of estimated size,Complete,End + shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/899EB3F8-CEF3-45CB-FE38-4FB76C2334C9,Bone D1419-182,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square D14,http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0002395,talus,Astragalus,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,,,,,,,19,Astragalus,Ovis/Capra,Separate,Right,Nonidentified,No pathology,1,1,Not applicable,Not applicable,Not applicable,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,,,,,,,,,,,20.3,,,,,,,,,
http://opencontext.org/subjects/B6136DCD-D7EF-4273-8892-B8031FCA8030,Bone F1419-182,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square F14,http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0001272,innominate bone,Pelvis,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,,,,,,,19,Pelvis,Ovis/Capra,Separate,Right,Nonidentified,No pathology,1,1,Central,Not applicable,Not applicable,Nonidentified,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/D7D4CE73-2107-4E40-B866-033FC250674F,Bone F1420-182,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square F14,http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0001474,bone,Nonidentified long bone shaft fragment,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,,,,,,,20,Nonidentified long bone shaft fragment,Ovis/Capra,Separate,Not applicable,Nonidentified,No pathology,1,0,Shaft,Not applicable,Not applicable,Nonidentified,Not applicable,Shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/BC96FBD7-3DE3-495E-B2E4-83456342DF14,Bone G1218-182,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square G12,http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0003268,tooth of lower jaw,Loose mandibular tooth,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,,,,,,,18,Loose mandibular tooth,Ovis/Capra,Separate,Left,Nonidentified,No pathology,1,1,Not applicable,Not applicable,Not applicable,Nonidentified,Not applicable,Not applicable,,,,Lower permanent,Molar,1,,,DEF,,,,,,,,,,,,30.7,,,,,,,,,,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/A198834C-0A70-4B57-6098-7881675DAC4A,Bone G1317-183,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square G13,http://opencontext.org/subjects/8ECF8742-FA42-4AAF-AAD8-E336D618CBB7,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0004301,middle phalanx,Phalanx anterior/posterior 2,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0070,Proximal epiphysis unfused,Unfused,17,Phalanx anterior/posterior 2,Ovis/Capra,Separate,Not applicable,Nonidentified,No pathology,8,7,Proximal,Unfused,Not applicable,< 1/4 of estimated size,Complete,Loose epiphysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/2F1D98C0-4ED0-411E-2A47-7DB68A1A0982,Bone D1418-183,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square D14,http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0000976,humerus,Humerus,http://eol.org/pages/4447460,Capra aegagrus,Capra aegagrus,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0057,Distal epiphysis fused,Fused,,,,18,Humerus,Capra aegagrus,Separate,Right,Nonidentified,No pathology,1,1,Distal,Not applicable,Fused,< 1/4 of estimated size,Complete,End + shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
