Project,Latitude,Longitude,Site,Start BCE,End BCE,Specimen Count,EOL URI,EOL Taxa Label,Analyst Taxanomic Designation (Source data)
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,27,http://eol.org/pages/2851411,Caprinae,Ovis/Capra
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,15,http://eol.org/pages/7662,Carnivora,Carnivore; Small Carnivore
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,14,http://eol.org/pages/42318,Sus,Sus scrofa
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,12,http://eol.org/pages/10840,Lepus,Lepus sp.
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,12,http://eol.org/pages/11021570,Bos primigenius,Bos primigenius; primigenius
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,12,http://eol.org/pages/39510,Ovis,Ovis sp.
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,9,http://eol.org/pages/1642,Mammalia,Large Mammal; Small Mammal
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,6,http://eol.org/pages/4658568,Lepidosauria,Reptile
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,4,http://eol.org/pages/111244,Arvicola,Arvicola
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,3,http://eol.org/pages/1670,Equidae,Equus sp.
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,3,http://eol.org/pages/1905,Actinopterygii,Pisces
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,3,http://eol.org/pages/328649,"Cervus elaphus Linnaeus, 1758",Cervus elaphus
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,2,http://eol.org/pages/328607,"Canis lupus Linnaeus, 1758",Canis lupus
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,2,http://eol.org/pages/8677,Rodentia,Rodent
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,1,http://eol.org/pages/1036116,Castor fiber,Castor fiber
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,1,http://eol.org/pages/328046,Meles meles,Meles meles
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,254,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,251,http://eol.org/pages/1642,Mammalia,Medium artiodactyl; Small mammal (rabbit size)
